remark,"CSV-Import-Export"
remark,"Date = Thu Sep 23 15:39:16 2021"
remark,"Version = RSLogix 5000 v13.04"
remark,"Owner = Rodney Howard"
remark,"Company = BIS Cleanaway Limited"
0.2
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER
COMMENT,"","R01:3:I","=5_1_1PIT1$Npressure IH1",,"R01:3:I.CH2UNDERRANGE"
COMMENT,"","R01:3:I","=5_1_1VC02$Nactaul value",,"R01:3:I.CH3UNDERRANGE"
COMMENT,"","R01:3:I","=5_1_1VC07$Nactaul value",,"R01:3:I.CH4UNDERRANGE"
COMMENT,"","R01:3:I","=5_1_1VC11$Nactaul value",,"R01:3:I.CH5UNDERRANGE"
COMMENT,"","R01:3:I","=5_1_1WT4$Nweight IH1",,"R01:3:I.CH6UNDERRANGE"
COMMENT,"","R01:3:I","=5_1_1FT3$NFluidizing flow IH1 raw signal from PDT measurement",,"R01:3:I.CH7UNDERRANGE"
TAG,"","R01:4:C","","AB:1794_IE8:C:0",""
TAG,"","R01:4:I","","AB:1794_IE8:I:1",""
COMMENT,"","R01:4:I","=5_1_0PT4$Npressure high pressure vessel PV2",,"R01:4:I.CH0DATA"
COMMENT,"","R01:4:I","=5_1_0TT2$Ntemperature IH N2 supply",,"R01:4:I.CH1DATA"
COMMENT,"","R01:4:I","=5_2_2PT42$Npressure conveying line DN125",,"R01:4:I.CH2DATA"
COMMENT,"","R01:4:I","=5_2_2PT45$Npressure conveying line DN125",,"R01:4:I.CH3DATA"
COMMENT,"","R01:4:I","=5_2_2PT82$Npressure conveying line DN100",,"R01:4:I.CH4DATA"
COMMENT,"","R01:4:I","=5_2_2PT85$Npressure conveying line DN100",,"R01:4:I.CH5DATA"
COMMENT,"","R01:4:I","=RES$NReserve",,"R01:4:I.CH6DATA"
COMMENT,"","R01:4:I","=RES$NReserve",,"R01:4:I.CH7DATA"
COMMENT,"","R01:4:I","=5_1_0PT4$Npressure high pressure vessel PV2",,"R01:4:I.CH0UNDERRANGE"
COMMENT,"","R01:4:I","=5_1_0TT2$Ntemperature IH N2 supply",,"R01:4:I.CH1UNDERRANGE"
COMMENT,"","R01:4:I","=5_2_2PT42$Npressure conveying line DN125",,"R01:4:I.CH2UNDERRANGE"
COMMENT,"","R01:4:I","=5_2_2PT45$Npressure conveying line DN125",,"R01:4:I.CH3UNDERRANGE"
COMMENT,"","R01:4:I","=5_2_2PT82$Npressure conveying line DN100",,"R01:4:I.CH4UNDERRANGE"
COMMENT,"","R01:4:I","=5_2_2PT85$Npressure conveying line DN100",,"R01:4:I.CH5UNDERRANGE"
COMMENT,"","R01:4:I","=RES$NReserve",,"R01:4:I.CH6UNDERRANGE"
COMMENT,"","R01:4:I","=RES$NReserve",,"R01:4:I.CH7UNDERRANGE"
TAG,"","R01:5:C","","AB:1794_OE4:C:0",""
TAG,"","R01:5:I","","AB:1794_OE4:I:1",""
COMMENT,"","R01:5:I","=5_1_1VC02$Nset value",,"R01:5:I.CH0OPENWIRE"
COMMENT,"","R01:5:I","=5_1_1VC07$Nset value",,"R01:5:I.CH1OPENWIRE"
COMMENT,"","R01:5:I","=5_1_1VC11$Nset value",,"R01:5:I.CH2OPENWIRE"
COMMENT,"","R01:5:I","=RES$NReserve",,"R01:5:I.CH3OPENWIRE"
TAG,"","R01:5:O","","AB:1794_OE4:O:0",""
COMMENT,"","R01:5:O","=5_1_1VC02$Nset value",,"R01:5:O.CH0DATA"
COMMENT,"","R01:5:O","=5_1_1VC07$Nset value",,"R01:5:O.CH1DATA"
COMMENT,"","R01:5:O","=5_1_1VC11$Nset value",,"R01:5:O.CH2DATA"
COMMENT,"","R01:5:O","=RES$NReserve",,"R01:5:O.CH3DATA"
TAG,"","R01:I","","AB:1794_ACN15_6SLOT:I:0",""
COMMENT,"","R01:I","Rack 1 Slot 0 - Digital Input Module has a Fault - Input Data is Invalid",,"R01:I.SLOTSTATUSBITS.0"
COMMENT,"","R01:I","Rack 1 Slot 1 - Digital Input Module has a Fault - Input Data is Invalid",,"R01:I.SLOTSTATUSBITS.1"
COMMENT,"","R01:I","Rack 1 Slot 2 - Digital Output Module has a Fault",,"R01:I.SLOTSTATUSBITS.2"
TAG,"","R01:O","","AB:1794_ACN15_6SLOT:O:0",""
TAG,"","R03:0:C","","AB:1794_IB16:C:0",""
ALIAS,"","R03:0:I","","","R03:I.Data[0]"
COMMENT,"","R03:0:I","=RES$NReserve",,"R03:0:I.0"
COMMENT,"","R03:0:I","=4_1_2SO63$NValve closed",,"R03:0:I.1"
COMMENT,"","R03:0:I","=4_1_2ZF63$NValve closed$N",,"R03:0:I.2"
COMMENT,"","R03:0:I","=4_1_2ZF63$NValve open$N",,"R03:0:I.3"
COMMENT,"","R03:0:I","=4_1_2VBW3$NValve closed",,"R03:0:I.4"
COMMENT,"","R03:0:I","=4_1_2VBW3$NValve open",,"R03:0:I.5"
COMMENT,"","R03:0:I","=5_1_0HS1$Nsafety positionning injection system BF5",,"R03:0:I.6"
COMMENT,"","R03:0:I","=5_1_3HS1$Nsafety positionning IH3",,"R03:0:I.7"
COMMENT,"","R03:0:I","=5_1_3HS2$Nsafety positionning IH3",,"R03:0:I.8"
COMMENT,"","R03:0:I","=5_1_3HS3$Nsafety positionning IH3",,"R03:0:I.9"
COMMENT,"","R03:0:I","=5_1_3WT4$Nalarming weight IH3",,"R03:0:I.10"
COMMENT,"","R03:0:I","=5_1_3LS1$Nlevel MAX IH3",,"R03:0:I.11"
COMMENT,"","R03:0:I","=5_1_3VB09$NValve closed",,"R03:0:I.12"
COMMENT,"","R03:0:I","=5_1_3VB09$NValve open",,"R03:0:I.13"
COMMENT,"","R03:0:I","=5_1_3VS13$NValve closed",,"R03:0:I.14"
COMMENT,"","R03:0:I","=5_1_3VS13$NValve open",,"R03:0:I.15"
TAG,"","R03:1:C","","AB:1794_IB16:C:0",""
ALIAS,"","R03:1:I","","","R03:I.Data[1]"
COMMENT,"","R03:1:I","=5_1_3VB01$NValve closed",,"R03:1:I.0"
COMMENT,"","R03:1:I","=5_1_3VB01$NValve open",,"R03:1:I.1"
COMMENT,"","R03:1:I","=5_1_3VBCM04$NValve closed",,"R03:1:I.2"
COMMENT,"","R03:1:I","=5_1_3VBCM04$NValve open",,"R03:1:I.3"
COMMENT,"","R03:1:I","=5_1_3ZS01$NValve closed",,"R03:1:I.4"
COMMENT,"","R03:1:I","=5_1_3ZS01$NValve open",,"R03:1:I.5"
COMMENT,"","R03:1:I","=5_1_3ZBC21$NValve closed",,"R03:1:I.6"
COMMENT,"","R03:1:I","=5_1_3ZBC21$NValve open",,"R03:1:I.7"
COMMENT,"","R03:1:I","=5_1_0VF5$NValve closed",,"R03:1:I.8"
COMMENT,"","R03:1:I","=5_1_0VF5$NValve open",,"R03:1:I.9"
COMMENT,"","R03:1:I","=5_1_0HS4$Nsafety positionning injection system BF5",,"R03:1:I.10"
COMMENT,"","R03:1:I","=5_2_2ZBC21$NValve closed",,"R03:1:I.11"
COMMENT,"","R03:1:I","=5_2_2ZBC21$NValve open",,"R03:1:I.12"
COMMENT,"","R03:1:I","=5_2_2VF2$NValve closed",,"R03:1:I.13"
COMMENT,"","R03:1:I","=5_2_2VF2$NValve open",,"R03:1:I.14"
COMMENT,"","R03:1:I","=5_1_3VC11 Valve closed",,"R03:1:I.15"
TAG,"","R03:2:C","","AB:1794_DO16:C:0",""
ALIAS,"","R03:2:O","","","R03:O.Data[2]"
TAG,"","R03:3:C","","AB:1794_IE8:C:0",""
TAG,"","R03:3:I","","AB:1794_IE8:I:1",""
COMMENT,"","R03:3:I","=5_1_0PT2$Npressure injection hopper N2 supply",,"R03:3:I.CH0DATA"
COMMENT,"","R03:3:I","=5_1_3PDT2$Nscalping device IH3",,"R03:3:I.CH1DATA"
COMMENT,"","R03:3:I","=5_1_3PIT1$Npressure IH3",,"R03:3:I.CH2DATA"
COMMENT,"","R03:3:I","=5_1_3VC02$Nactaul value",,"R03:3:I.CH3DATA"
COMMENT,"","R03:3:I","=5_1_3VC07$Nactaul value",,"R03:3:I.CH4DATA"
COMMENT,"","R03:3:I","=5_1_3VC11$Nactaul value",,"R03:3:I.CH5DATA"
COMMENT,"","R03:3:I","=5_1_3WT4$Nweight IH3",,"R03:3:I.CH6DATA"
COMMENT,"","R03:3:I","=5_1_3FT3$NFluidizing flow IH3 raw signal from PDT measurement",,"R03:3:I.CH7DATA"
COMMENT,"","R03:3:I","=5_1_0PT2$Npressure injection hopper N2 supply",,"R03:3:I.CH0UNDERRANGE"
COMMENT,"","R03:3:I","=5_1_3PDT2$Nscalping device IH3",,"R03:3:I.CH1UNDERRANGE"
COMMENT,"","R03:3:I","=5_1_3PIT1$Npressure IH3",,"R03:3:I.CH2UNDERRANGE"
COMMENT,"","R03:3:I","=5_1_3VC02$Nactaul value",,"R03:3:I.CH3UNDERRANGE"
COMMENT,"","R03:3:I","=5_1_3VC07$Nactaul value",,"R03:3:I.CH4UNDERRANGE"
COMMENT,"","R03:3:I","=5_1_3VC11$Nactaul value",,"R03:3:I.CH5UNDERRANGE"
COMMENT,"","R03:3:I","=5_1_3WT4$Nweight IH3",,"R03:3:I.CH6UNDERRANGE"
COMMENT,"","R03:3:I","=5_1_3FT3$NFluidizing flow IH3 raw signal from PDT measurement",,"R03:3:I.CH7UNDERRANGE"
TAG,"","R03:4:C","","AB:1794_IE8:C:0",""
TAG,"","R03:4:I","","AB:1794_IE8:I:1",""
COMMENT,"","R03:4:I","=5_2_2PT43$Npressure conveying line DN125",,"R03:4:I.CH0DATA"
COMMENT,"","R03:4:I","=5_2_2PT83$Npressure conveying line DN100",,"R03:4:I.CH1DATA"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH2DATA"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH3DATA"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH4DATA"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH5DATA"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH6DATA"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH7DATA"
COMMENT,"","R03:4:I","=5_2_2PT43$Npressure conveying line DN125",,"R03:4:I.CH0UNDERRANGE"
COMMENT,"","R03:4:I","=5_2_2PT83$Npressure conveying line DN100",,"R03:4:I.CH1UNDERRANGE"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH2UNDERRANGE"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH3UNDERRANGE"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH4UNDERRANGE"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH5UNDERRANGE"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH6UNDERRANGE"
COMMENT,"","R03:4:I","=RES$NReserve",,"R03:4:I.CH7UNDERRANGE"
TAG,"","R03:5:C","","AB:1794_OE4:C:0",""
TAG,"","R03:5:I","","AB:1794_OE4:I:1",""
COMMENT,"","R03:5:I","=5_1_3VC02$Nset value",,"R03:5:I.CH0OPENWIRE"
COMMENT,"","R03:5:I","=5_1_3VC07$Nset value",,"R03:5:I.CH1OPENWIRE"
COMMENT,"","R03:5:I","=5_1_3VC11$Nset value",,"R03:5:I.CH2OPENWIRE"
COMMENT,"","R03:5:I","=RES$NReserve",,"R03:5:I.CH3OPENWIRE"
TAG,"","R03:5:O","","AB:1794_OE4:O:0",""
COMMENT,"","R03:5:O","=5_1_3VC02$Nset value",,"R03:5:O.CH0DATA"
COMMENT,"","R03:5:O","=5_1_3VC07$Nset value",,"R03:5:O.CH1DATA"
COMMENT,"","R03:5:O","=5_1_3VC11$Nset value",,"R03:5:O.CH2DATA"
COMMENT,"","R03:5:O","=RES$NReserve",,"R03:5:O.CH3DATA"
TAG,"","R03:I","","AB:1794_ACN15_6SLOT:I:0",""
COMMENT,"","R03:I","Rack 3 Slot 0 - Digital Input Module has a Fault - Input Data is Invalid",,"R03:I.SLOTSTATUSBITS.0"
COMMENT,"","R03:I","Rack 3 Slot 1 - Digital Input Module has a Fault - Input Data is Invalid",,"R03:I.SLOTSTATUSBITS.1"
COMMENT,"","R03:I","Rack 3 Slot 2 - Digital Output Module has a Fault",,"R03:I.SLOTSTATUSBITS.2"
TAG,"","R03:O","","AB:1794_ACN15_6SLOT:O:0",""
TAG,"","R04:0:C","","AB:1794_IB16:C:0",""
ALIAS,"","R04:0:I","","","R04:I.Data[0]"
COMMENT,"","R04:0:I","=5_2_2VF1$NValve closed",,"R04:0:I.0"
COMMENT,"","R04:0:I","=5_2_2VF1$NValve open",,"R04:0:I.1"
COMMENT,"","R04:0:I","=4_1_2ZBC81$NValve closed$N",,"R04:0:I.2"
COMMENT,"","R04:0:I","=4_1_2ZBC81$NValve open$N",,"R04:0:I.3"
COMMENT,"","R04:0:I","=4_1_2DT1$Ndustcontrol malfunction",,"R04:0:I.4"
COMMENT,"","R04:0:I","=4_1_2DT1$Ndustcontrol limit valve contact$N",,"R04:0:I.5"
COMMENT,"","R04:0:I","=4_1_2DT1$Ndustcontrol maintenance contact$N",,"R04:0:I.6"
COMMENT,"","R04:0:I","=4_1_2HE02$NFuse OK",,"R04:0:I.7"
COMMENT,"","R04:0:I","=4_1_2HE02$Nheating temperature min$N",,"R04:0:I.8"
COMMENT,"","R04:0:I","=4_1_2HE02$Nheating is on",,"R04:0:I.9"
COMMENT,"","R04:0:I","=4_1_2CDBF$Ncone level bagfilter BF5",,"R04:0:I.10"
COMMENT,"","R04:0:I","=4_1_2ZF64$Nlimit switch closed$N",,"R04:0:I.11"
COMMENT,"","R04:0:I","=4_1_2ZF64$Nlimit switch open$N",,"R04:0:I.12"
COMMENT,"","R04:0:I","=4_1_2ZS91$Nlimit switch closed$N",,"R04:0:I.13"
COMMENT,"","R04:0:I","=4_1_2ZS91$Nlimit switch open$N",,"R04:0:I.14"
COMMENT,"","R04:0:I","=4_1_2CDBF$Nbagfilter BF5 cleaning N2 pressure",,"R04:0:I.15"
TAG,"","R04:1:C","","AB:1794_IB16:C:0",""
ALIAS,"","R04:1:I","","","R04:I.Data[1]"
COMMENT,"","R04:1:I","=4_1_2HS1$Nsafety positionning bagfilter BF5",,"R04:1:I.0"
COMMENT,"","R04:1:I","=4_1_2HS2$Nsafety positionning fluidizing PCBS BF5",,"R04:1:I.1"
COMMENT,"","R04:1:I","=5_1_0VS06$NValve closed",,"R04:1:I.2"
COMMENT,"","R04:1:I","=5_1_0VS06$NValve open",,"R04:1:I.3"
COMMENT,"","R04:1:I","=5_1_0VS07$NValve closed",,"R04:1:I.4"
COMMENT,"","R04:1:I","=5_1_0VS07$NValve open",,"R04:1:I.5"
COMMENT,"","R04:1:I","=5_1_0ZS81$NValve closed$N",,"R04:1:I.6"
COMMENT,"","R04:1:I","=5_1_0ZS81$NValve open$N",,"R04:1:I.7"
COMMENT,"","R04:1:I","=5_1_1VC11$NValve closed$N",,"R04:1:I.8"
COMMENT,"","R04:1:I","=5_2_1VBCM2$NValve closed",,"R04:1:I.9"
COMMENT,"","R04:1:I","=5_2_1VBCM2$NValve open",,"R04:1:I.10"
COMMENT,"","R04:1:I","=5_2_1VBCM3$NValve closed",,"R04:1:I.11"
COMMENT,"","R04:1:I","=5_2_1VBCM3$NValve open",,"R04:1:I.12"
COMMENT,"","R04:1:I","=5_2_1VBCM4$NValve closed",,"R04:1:I.13"
COMMENT,"","R04:1:I","=5_2_1VBCM4$NValve open",,"R04:1:I.14"
COMMENT,"","R04:1:I","=RES$NReserve",,"R04:1:I.15"
TAG,"","R04:2:C","","AB:1794_IB16:C:0",""
ALIAS,"","R04:2:I","","","R04:I.Data[2]"
COMMENT,"","R04:2:I","=4_1_2M12$Ndrive running",,"R04:2:I.0"
COMMENT,"","R04:2:I","=4_1_2M12$NMCC Ready for operation",,"R04:2:I.1"
COMMENT,"","R04:2:I","=4_1_2M12$NMCC Automatic",,"R04:2:I.2"
COMMENT,"","R04:2:I","=4_1_2M12$NDrive auto mode",,"R04:2:I.3"
COMMENT,"","R04:2:I","=4_1_2M12$NDrive local",,"R04:2:I.4"
COMMENT,"","R04:2:I","=4_1_2M12$Nthermistor alarm",,"R04:2:I.5"
COMMENT,"","R04:2:I","=4_1_2M12$Nthermistor abschaltung",,"R04:2:I.6"
COMMENT,"","R04:2:I","=4_1_2M12$Nbagfilter BF5 rotary valve speed switch",,"R04:2:I.7"
COMMENT,"","R04:2:I","=4_1_2M12$NIsolator switch on",,"R04:2:I.8"
COMMENT,"","R04:2:I","=4_1_2CDBF$Ncleaning device on",,"R04:2:I.9"
COMMENT,"","R04:2:I","=4_1_2CDBF$Ncleaning device ready to operate",,"R04:2:I.10"
COMMENT,"","R04:2:I","=4_1_2CDBF$Ncleaning device alarm",,"R04:2:I.11"
COMMENT,"","R04:2:I","=5_1_0VB10$NValve Closed$NLimit Switch$Nis ON",,"R04:2:I.12"
COMMENT,"","R04:2:I","=5_1_0VB10$NValve Open$NLimit Switch$Nis ON",,"R04:2:I.13"
COMMENT,"","R04:2:I","=RES$NReserve",,"R04:2:I.14"
COMMENT,"","R04:2:I","=RES$NReserve",,"R04:2:I.15"
TAG,"","R04:3:C","","AB:1794_DO16:C:0",""
ALIAS,"","R04:3:O","","","R04:O.Data[3]"
TAG,"","R04:4:C","","AB:1794_IE8:C:0",""
TAG,"","R04:4:I","","AB:1794_IE8:I:1",""
COMMENT,"","R04:4:I","=4_1_2DT1$Ndust bagfilter outlet",,"R04:4:I.CH0DATA"
COMMENT,"","R04:4:I","=4_1_2PDT1$Nbagfilter BF5 plugged",,"R04:4:I.CH1DATA"
COMMENT,"","R04:4:I","=5_2_1FT1$Ncoal flow conveying line",,"R04:4:I.CH2DATA"
COMMENT,"","R04:4:I","=5_2_1FT1$Ncoal flow speed",,"R04:4:I.CH3DATA"
COMMENT,"","R04:4:I","=5_2_1FT1$Ncoal flow concentration",,"R04:4:I.CH4DATA"
COMMENT,"","R04:4:I","=5_2_1PIT1$Npressure conveying line BF5",,"R04:4:I.CH5DATA"
COMMENT,"","R04:4:I","=5_2_1VCC11$Nactaul value",,"R04:4:I.CH6DATA"
COMMENT,"","R04:4:I","=5_2_1VC31$Nactaul value",,"R04:4:I.CH7DATA"
COMMENT,"","R04:4:I","=4_1_2DT1$Ndust bagfilter outlet",,"R04:4:I.CH0UNDERRANGE"
COMMENT,"","R04:4:I","=4_1_2PDT1$Nbagfilter BF5 plugged",,"R04:4:I.CH1UNDERRANGE"
COMMENT,"","R04:4:I","=5_2_1FT1$Ncoal flow conveying line",,"R04:4:I.CH2UNDERRANGE"
COMMENT,"","R04:4:I","=5_2_1FT1$Ncoal flow speed",,"R04:4:I.CH3UNDERRANGE"
COMMENT,"","R04:4:I","=5_2_1FT1$Ncoal flow concentration",,"R04:4:I.CH4UNDERRANGE"
COMMENT,"","R04:4:I","=5_2_1PIT1$Npressure conveying line BF5",,"R04:4:I.CH5UNDERRANGE"
COMMENT,"","R04:4:I","=5_2_1VCC11$Nactaul value",,"R04:4:I.CH6UNDERRANGE"
COMMENT,"","R04:4:I","=5_2_1VC31$Nactaul value",,"R04:4:I.CH7UNDERRANGE"
TAG,"","R04:5:C","","AB:1794_IE8:C:0",""
TAG,"","R04:5:I","","AB:1794_IE8:I:1",""
COMMENT,"","R04:5:I","=5_2_1PT3$NN2 pressure 1st delution chamber",,"R04:5:I.CH0DATA"
COMMENT,"","R04:5:I","=5_2_1TT3$NN2 temperature 1st dilution chamber",,"R04:5:I.CH1DATA"
COMMENT,"","R04:5:I","=5_2_1FT3$NN2 flow 1st dilution chamber raw signal from PDT measurement",,"R04:5:I.CH2DATA"
COMMENT,"","R04:5:I","=5_2_2VC31$Nactual value",,"R04:5:I.CH3DATA"
COMMENT,"","R04:5:I","=5_2_2PT3$NN2 pressure 2nd delution chamber",,"R04:5:I.CH4DATA"
COMMENT,"","R04:5:I","=5_2_2TT3$NN2 temperature 2nd dilution chamber",,"R04:5:I.CH5DATA"
COMMENT,"","R04:5:I","=5_2_2FT3$NN2 flow 2nd dilution chamber raw signal from PDT measurement",,"R04:5:I.CH6DATA"
COMMENT,"","R04:5:I","=RES$NReserve",,"R04:5:I.CH7DATA"
COMMENT,"","R04:5:I","=5_2_1PT3$NN2 pressure 1st delution chamber",,"R04:5:I.CH0UNDERRANGE"
COMMENT,"","R04:5:I","=5_2_1TT3$NN2 temperature 1st dilution chamber",,"R04:5:I.CH1UNDERRANGE"
COMMENT,"","R04:5:I","=5_2_1FT3$NN2 flow 1st dilution chamber raw signal from PDT measurement",,"R04:5:I.CH2UNDERRANGE"
COMMENT,"","R04:5:I","=5_2_2VC31$Nactual value",,"R04:5:I.CH3UNDERRANGE"
COMMENT,"","R04:5:I","=5_2_2PT3$NN2 pressure 2nd delution chamber",,"R04:5:I.CH4UNDERRANGE"
COMMENT,"","R04:5:I","=5_2_2TT3$NN2 temperature 2nd dilution chamber",,"R04:5:I.CH5UNDERRANGE"
COMMENT,"","R04:5:I","=5_2_2FT3$NN2 flow 2nd dilution chamber raw signal from PDT measurement",,"R04:5:I.CH6UNDERRANGE"
COMMENT,"","R04:5:I","=RES$NReserve",,"R04:5:I.CH7UNDERRANGE"
TAG,"","R04:6:C","","AB:1794_OE4:C:0",""
TAG,"","R04:6:I","","AB:1794_OE4:I:1",""
COMMENT,"","R04:6:I","=5_2_1VCC11$Nset value",,"R04:6:I.CH0OPENWIRE"
COMMENT,"","R04:6:I","=5_2_1VC31$Nset value",,"R04:6:I.CH1OPENWIRE"
COMMENT,"","R04:6:I","=5_2_2VC31$Nset value",,"R04:6:I.CH2OPENWIRE"
COMMENT,"","R04:6:I","=RES$NReserve",,"R04:6:I.CH3OPENWIRE"
TAG,"","R04:6:O","","AB:1794_OE4:O:0",""
COMMENT,"","R04:6:O","=5_2_1VCC11$Nset value",,"R04:6:O.CH0DATA"
COMMENT,"","R04:6:O","=5_2_1VC31$Nset value",,"R04:6:O.CH1DATA"
COMMENT,"","R04:6:O","=5_2_2VC31$Nset value",,"R04:6:O.CH2DATA"
COMMENT,"","R04:6:O","=RES$NReserve",,"R04:6:O.CH3DATA"
TAG,"","R04:I","","AB:1794_ACN15_7SLOT:I:0",""
COMMENT,"","R04:I","Rack 4 Slot 0 - Digital Input Module has a Fault - Input Data is Invalid",,"R04:I.SLOTSTATUSBITS.0"
COMMENT,"","R04:I","Rack 4 Slot 1 - Digital Input Module has a Fault - Input Data is Invalid",,"R04:I.SLOTSTATUSBITS.1"
COMMENT,"","R04:I","Rack 4 Slot 2 - Digital Input Module has a Fault - Input Data is Invalid",,"R04:I.SLOTSTATUSBITS.2"
COMMENT,"","R04:I","Rack 4 Slot 3 - Digital Output Module has a Fault",,"R04:I.SLOTSTATUSBITS.3"
TAG,"","R04:O","","AB:1794_ACN15_7SLOT:O:0",""
TAG,"","DN02:I","","AB:1788_CN2DN_8Bytes:I:0",""
COMMENT,"","DN02:I","=5_1_2VF08$NValve open",,"DN02:I.DATA[0].0"
